product_name,price,quantity_sold,date,customer_type,category,sales,order_id,customer,payment,status,week,notification_type,notification_item,notification_date,notification_details
Snacks,465.75,43,2024-01-23,guest,cleaning,17294.9,28611,Wei Chen,Partial,On Hold,W1,Shipped,Order #28611,2024-01-23,Shipped for Snacks
Tea,462.27,23,2024-04-07,new,toys,10044.01,38038,Carlos Gomez,Refunded,Cancelled,W5,Reminder,Order #38038,2024-04-07,Reminder for Tea
Snacks,258.28,22,2024-06-10,wholesale,beverage,5180.16,64804,Tom M�ller,Pending,On Hold,W6,Info,Order #64804,2024-06-10,Info for Snacks
Sugar,446.78,23,2024-06-13,wholesale,clothing,9805.26,29859,John Doe,Unpaid,On Hold,W2,Returned,Order #29859,2024-06-13,Returned for Sugar
Juice,415.08,46,2024-06-14,vip,home,16310.87,76771,Fatima Zahra,Paid,Processing,W1,Delivered,Order #76771,2024-06-14,Delivered for Juice
Toothpaste,415.61,14,2024-04-11,vip,food,5292.04,97683,Sara Lee,Failed,Cancelled,W3,Reminder,Order #97683,2024-04-11,Reminder for Toothpaste
Soap,385.07,4,2024-06-14,guest,toys,1613.81,37394,Tom M�ller,Failed,Out for Delivery,W6,Settlement,Order #37394,2024-06-14,Settlement for Soap
Shampoo,381.83,48,2024-04-11,vip,clothing,18704.6,62409,Lucas Rossi,Paid,Shipping,W3,Reminder,Order #62409,2024-04-11,Reminder for Shampoo
Juice,47.18,46,2024-02-12,wholesale,toys,1917.91,86375,John Doe,Unpaid,Processing,W9,Reminder,Order #86375,2024-02-12,Reminder for Juice
Tea,464.69,43,2024-04-15,regular,home,18593.22,30569,Wei Chen,Processing,Delivered,W7,Reminder,Order #30569,2024-04-15,Reminder for Tea
Juice,212.07,25,2024-03-24,affiliate,home,4961.99,24740,Fatima Zahra,Pending,Delivered,W6,Info,Order #24740,2024-03-24,Info for Juice
Bathroom Essentials,134.83,37,2024-06-04,new,home,5075.23,64993,Jane Smith,Refunded,On Hold,W9,Cancelled,Order #64993,2024-06-04,Cancelled for Bathroom Essentials
Basmati Rice,130.43,16,2024-05-30,returning,personal care,2018.14,72476,Tom M�ller,Failed,Cancelled,W3,Promotion,Order #72476,2024-05-30,Promotion for Basmati Rice
Shampoo,108.45,26,2024-06-07,new,toys,2490.45,70934,Carlos Gomez,Unpaid,Cancelled,W8,Settlement,Order #70934,2024-06-07,Settlement for Shampoo
Coffee,334.36,35,2024-04-13,employee,cleaning,11887.49,78913,Mohammed Ali,Pending,Delivered,W8,Promotion,Order #78913,2024-04-13,Promotion for Coffee
Milk,186.95,38,2024-03-08,employee,personal care,7741.11,29393,Sara Lee,Partial,Cancelled,W2,Returned,Order #29393,2024-03-08,Returned for Milk
Sugar,97.72,22,2024-02-15,regular,stationery,1943.79,54245,Priya Patel,Pending,Out for Delivery,W5,Info,Order #54245,2024-02-15,Info for Sugar
Bathroom Essentials,77.29,3,2024-03-21,employee,home,226.25,84197,Carlos Gomez,Failed,Processing,W7,Returned,Order #84197,2024-03-21,Returned for Bathroom Essentials
Milk,388.46,47,2024-03-22,wholesale,electronics,20123.41,23951,Sara Lee,Refunded,On Hold,W7,Settlement,Order #23951,2024-03-22,Settlement for Milk
Tea,285.76,18,2024-04-19,employee,beverage,5424.24,89336,Jane Smith,Partial,Delivered,W2,Returned,Order #89336,2024-04-19,Returned for Tea
Coffee,264.54,8,2024-05-06,guest,beverage,1724.77,73634,Priya Patel,Unpaid,Cancelled,W6,Cancelled,Order #73634,2024-05-06,Cancelled for Coffee
Milk,320.02,28,2024-06-08,guest,beverage,9919.65,70930,Sara Lee,Refunded,Out for Delivery,W5,Settlement,Order #70930,2024-06-08,Settlement for Milk
Biscuits,222.28,26,2024-02-03,returning,home,4991.11,96049,John Doe,Refunded,Cancelled,W5,Info,Order #96049,2024-02-03,Info for Biscuits
Toothpaste,156.29,45,2024-06-18,regular,beverage,6787.1,92623,Carlos Gomez,Pending,Processing,W4,Settlement,Order #92623,2024-06-18,Settlement for Toothpaste
Basmati Rice,137.3,13,2024-02-17,guest,clothing,2113.93,98891,John Doe,Paid,Returned,W2,Info,Order #98891,2024-02-17,Info for Basmati Rice
Biscuits,250.5,26,2024-05-25,guest,cleaning,5412.81,78631,Emily Brown,Pending,Returned,W1,Delivered,Order #78631,2024-05-25,Delivered for Biscuits
Milk,83.3,32,2024-05-13,wholesale,toys,2823.2,61187,Priya Patel,Failed,Cancelled,W9,Info,Order #61187,2024-05-13,Info for Milk
Salt,424.57,44,2024-01-15,new,toys,21560.97,77293,Sofia Garcia,Processing,Cancelled,W8,Cancelled,Order #77293,2024-01-15,Cancelled for Salt
Snacks,198.57,44,2024-04-26,returning,personal care,10264.95,26656,Anna Ivanova,Partial,Shipping,W4,Delivered,Order #26656,2024-04-26,Delivered for Snacks
Wheat,183.98,37,2024-05-13,guest,home,7005.51,37716,Lucas Rossi,Refunded,Cancelled,W7,Shipped,Order #37716,2024-05-13,Shipped for Wheat
Salt,390.1,46,2024-06-28,returning,personal care,15315.97,26121,Fatima Zahra,Failed,Delivered,W2,Info,Order #26121,2024-06-28,Info for Salt
