product_name,price,quantity_sold,date,customer_type,category,sales,order_id,customer,payment,status,week,notification_type,notification_item,notification_date,notification_details
Bathroom Essentials,107.99,46,2024-01-13,returning,electronics,4967.54,10001,Leslie Alexander,Refunded,Processing,W2,Delayed,Order #10001,2024-01-13,Shipped for Bathroom Essentials
Biscuits,346.0,30,2024-01-02,employee,toys,10380.0,10002,Mohammed Ali,Failed,Processing,W5,Reminder,Order #10002,2024-01-02,Delayed for Biscuits
Snacks,134.58,41,2024-01-17,new,home,5517.78,10003,Sofia Garcia,Refunded,Returned,W4,Promotion,Order #10003,2024-01-17,Returned for Snacks
Tea,277.18,44,2024-01-06,affiliate,personal care,12195.92,10004,Sofia Garcia,Failed,Delivered,W3,Cancelled,Order #10004,2024-01-06,Cancelled for Tea
Snacks,408.64,4,2024-01-14,vip,personal care,1634.56,10005,Sara Lee,Failed,Returned,W7,Delivered,Order #10005,2024-01-14,Info for Snacks
Bathroom Essentials,363.93,14,2024-01-11,wholesale,stationery,5095.02,10006,Emily Brown,Processing,Cancelled,W3,Reminder,Order #10006,2024-01-11,Shipped for Bathroom Essentials
Soap,330.78,15,2024-01-23,new,electronics,4961.7,10007,John Doe,Partial,Delivered,W5,Settlement,Order #10007,2024-01-23,Returned for Soap
Biscuits,403.08,18,2024-01-10,employee,electronics,7255.44,10008,Carlos Gomez,Unpaid,On Hold,W7,Info,Order #10008,2024-01-10,Reminder for Biscuits
Biscuits,419.92,14,2024-01-14,returning,electronics,5878.88,10009,Emily Brown,Pending,Returned,W3,Shipped,Order #10009,2024-01-14,Reminder for Biscuits
Tea,23.76,43,2024-01-04,new,food,1021.68,10010,Emily Brown,Failed,Shipping,W3,Shipped,Order #10010,2024-01-04,Delayed for Tea
Coffee,449.45,22,2024-01-01,guest,food,9887.9,10011,Tom Müller,Processing,On Hold,W3,Shipped,Order #10011,2024-01-01,Shipped for Coffee
Soap,60.31,14,2024-01-01,returning,stationery,844.34,10012,Lucas Rossi,Refunded,Shipping,W7,Delayed,Order #10012,2024-01-01,Delivered for Soap
Coffee,421.86,38,2024-01-16,returning,stationery,16030.68,10013,David Kim,Refunded,Processing,W9,Returned,Order #10013,2024-01-16,Returned for Coffee
Sugar,270.03,48,2024-01-11,wholesale,home,12961.44,10014,Sofia Garcia,Pending,Processing,W9,Settlement,Order #10014,2024-01-11,Reminder for Sugar
Juice,103.12,18,2024-01-19,guest,food,1856.16,10015,Mohammed Ali,Processing,Returned,W1,Delivered,Order #10015,2024-01-19,Delivered for Juice
Salt,365.63,50,2024-01-22,guest,home,18281.5,10016,Carlos Gomez,Unpaid,Cancelled,W7,Settlement,Order #10016,2024-01-22,Delayed for Salt
Basmati Rice,318.2,36,2024-01-24,vip,clothing,11455.2,10017,Tom Müller,Processing,Cancelled,W8,Delivered,Order #10017,2024-01-24,Delivered for Basmati Rice
Bathroom Essentials,49.18,10,2024-02-10,regular,stationery,491.8,10018,Mohammed Ali,Processing,Delivered,W6,Settlement,Order #10018,2024-02-10,Shipped for Bathroom Essentials
Coffee,76.38,40,2024-02-27,wholesale,toys,3055.2,10019,Jane Smith,Paid,Out for Delivery,W2,Returned,Order #10019,2024-02-27,Promotion for Coffee
Juice,185.64,47,2024-02-14,guest,stationery,8725.08,10020,Wei Chen,Processing,Delivered,W2,Reminder,Order #10020,2024-02-14,Shipped for Juice
Tea,80.26,48,2024-02-28,returning,electronics,3852.48,10021,Wei Chen,Pending,Returned,W6,Shipped,Order #10021,2024-02-28,Settlement for Tea
Basmati Rice,343.62,26,2024-02-25,affiliate,home,8934.12,10022,Emily Brown,Partial,On Hold,W8,Returned,Order #10022,2024-02-25,Delayed for Basmati Rice
Coffee,163.35,31,2024-02-09,returning,beverage,5063.85,10023,Tom Müller,Partial,Returned,W3,Info,Order #10023,2024-02-09,Delayed for Coffee
Cooking Oil,450.49,18,2024-02-26,returning,personal care,8108.82,10024,John Doe,Refunded,Shipping,W4,Shipped,Order #10024,2024-02-26,Promotion for Cooking Oil
Coffee,445.57,7,2024-02-18,employee,cleaning,3118.99,10025,Lucas Rossi,Paid,Delivered,W5,Settlement,Order #10025,2024-02-18,Delayed for Coffee
Biscuits,218.73,46,2024-02-25,new,personal care,10061.58,10026,Mohammed Ali,Pending,Returned,W8,Reminder,Order #10026,2024-02-25,Shipped for Biscuits
Wheat,152.03,25,2024-02-05,affiliate,stationery,3800.75,10027,Fatima Zahra,Refunded,Cancelled,W6,Delayed,Order #10027,2024-02-05,Returned for Wheat
Snacks,30.22,16,2024-02-16,guest,cleaning,483.52,10028,Mohammed Ali,Refunded,Shipping,W3,Info,Order #10028,2024-02-16,Settlement for Snacks
Cooking Oil,385.68,18,2024-02-15,returning,electronics,6942.24,10029,Mohammed Ali,Unpaid,Cancelled,W2,Reminder,Order #10029,2024-02-15,Settlement for Cooking Oil
Basmati Rice,381.12,13,2024-02-24,new,electronics,4954.56,10030,Mohammed Ali,Partial,Processing,W4,Delayed,Order #10030,2024-02-24,Promotion for Basmati Rice
Toothpaste,468.76,2,2024-02-16,guest,cleaning,937.52,10031,Tom Müller,Pending,Processing,W2,Delayed,Order #10031,2024-02-16,Returned for Toothpaste
Coffee,152.84,34,2024-02-04,returning,stationery,5196.56,10032,Carlos Gomez,Pending,Returned,W8,Info,Order #10032,2024-02-04,Settlement for Coffee
Wheat,473.01,30,2024-02-06,new,beverage,14190.3,10033,Tom Müller,Refunded,Shipping,W8,Settlement,Order #10033,2024-02-06,Settlement for Wheat
Shampoo,65.45,10,2024-02-16,new,personal care,654.5,10034,David Kim,Processing,Cancelled,W9,Delayed,Order #10034,2024-02-16,Settlement for Shampoo
Snacks,271.67,47,2024-03-20,employee,clothing,12768.49,10035,Leslie Alexander,Refunded,On Hold,W6,Info,Order #10035,2024-03-20,Returned for Snacks
Juice,245.57,11,2024-03-26,vip,home,2701.27,10036,John Doe,Paid,Shipping,W2,Cancelled,Order #10036,2024-03-26,Info for Juice
Cooking Oil,179.17,28,2024-03-09,guest,food,5016.76,10037,Leslie Alexander,Pending,Returned,W8,Reminder,Order #10037,2024-03-09,Delayed for Cooking Oil
Sugar,159.84,22,2024-03-06,wholesale,clothing,3516.48,10038,Leslie Alexander,Failed,Processing,W9,Delayed,Order #10038,2024-03-06,Delayed for Sugar
Milk,240.37,13,2024-03-12,guest,food,3124.81,10039,Wei Chen,Unpaid,Shipping,W1,Returned,Order #10039,2024-03-12,Cancelled for Milk
Sugar,166.16,19,2024-03-05,new,home,3157.04,10040,Anna Ivanova,Processing,On Hold,W9,Shipped,Order #10040,2024-03-05,Delivered for Sugar
Juice,497.76,16,2024-03-07,wholesale,beverage,7964.16,10041,Tom Müller,Pending,Out for Delivery,W2,Promotion,Order #10041,2024-03-07,Returned for Juice
Shampoo,57.02,32,2024-03-22,returning,electronics,1824.64,10042,Lucas Rossi,Unpaid,Processing,W5,Delivered,Order #10042,2024-03-22,Reminder for Shampoo
Juice,24.72,34,2024-03-26,affiliate,toys,840.48,10043,Anna Ivanova,Processing,Cancelled,W7,Settlement,Order #10043,2024-03-26,Shipped for Juice
Sugar,212.08,7,2024-03-25,regular,cleaning,1484.56,10044,Sara Lee,Failed,Returned,W4,Delivered,Order #10044,2024-03-25,Cancelled for Sugar
Wheat,373.48,27,2024-03-01,guest,clothing,10083.96,10045,Jane Smith,Processing,Out for Delivery,W6,Cancelled,Order #10045,2024-03-01,Reminder for Wheat
Salt,46.36,41,2024-03-23,vip,stationery,1900.76,10046,Priya Patel,Paid,Processing,W5,Delayed,Order #10046,2024-03-23,Reminder for Salt
Toothpaste,232.5,33,2024-03-15,new,stationery,7672.5,10047,Tom Müller,Paid,Out for Delivery,W2,Returned,Order #10047,2024-03-15,Cancelled for Toothpaste
Salt,67.39,2,2024-03-13,employee,clothing,134.78,10048,Fatima Zahra,Partial,On Hold,W8,Info,Order #10048,2024-03-13,Promotion for Salt
Wheat,88.88,6,2024-03-26,guest,clothing,533.28,10049,Jane Smith,Processing,On Hold,W9,Info,Order #10049,2024-03-26,Reminder for Wheat
Coffee,64.47,2,2024-03-18,guest,electronics,128.94,10050,Carlos Gomez,Refunded,Cancelled,W3,Returned,Order #10050,2024-03-18,Shipped for Coffee
Juice,209.92,42,2024-03-26,regular,clothing,8816.64,10051,Wei Chen,Failed,Shipping,W5,Reminder,Order #10051,2024-03-26,Settlement for Juice
Toothpaste,275.72,10,2024-04-07,guest,home,2757.2,10052,Lucas Rossi,Paid,Cancelled,W9,Delayed,Order #10052,2024-04-07,Delivered for Toothpaste
Snacks,405.08,24,2024-04-27,returning,home,9721.92,10053,Emily Brown,Paid,On Hold,W9,Settlement,Order #10053,2024-04-27,Promotion for Snacks
Milk,325.68,12,2024-04-12,regular,personal care,3908.16,10054,Leslie Alexander,Partial,Out for Delivery,W3,Settlement,Order #10054,2024-04-12,Cancelled for Milk
Salt,181.83,26,2024-04-26,guest,beverage,4727.58,10055,Emily Brown,Processing,Shipping,W2,Returned,Order #10055,2024-04-26,Returned for Salt
Shampoo,482.81,49,2024-04-28,wholesale,cleaning,23657.69,10056,David Kim,Unpaid,On Hold,W7,Returned,Order #10056,2024-04-28,Returned for Shampoo
