product_name,price,quantity_sold,date,customer_type,category,sales,order_id,customer,payment,status,week,notification_type,notification_item,notification_date,notification_details
Juice,99.53,47,2024-04-04,guest,home,5250.17,87889,Lucas Rossi,Refunded,Out for Delivery,W9,Reminder,Order #87889,2024-04-04,Reminder for Juice
Basmati Rice,435.99,2,2024-02-19,new,beverage,869.44,22775,Jane Smith,Processing,Shipping,W1,Delivered,Order #22775,2024-02-19,Delivered for Basmati Rice
Snacks,339.28,43,2024-03-16,new,toys,13060.42,46636,Jane Smith,Pending,Delivered,W2,Info,Order #46636,2024-03-16,Info for Snacks
Coffee,393.9,35,2024-06-17,regular,home,15069.77,52118,Fatima Zahra,Pending,Delivered,W6,Settlement,Order #52118,2024-06-17,Settlement for Coffee
Shampoo,214.36,4,2024-05-01,new,stationery,739.32,28839,Mohammed Ali,Pending,On Hold,W7,Returned,Order #28839,2024-05-01,Returned for Shampoo
Toothpaste,435.24,44,2024-04-18,returning,toys,20053.45,86676,Tom M�ller,Partial,Shipping,W8,Settlement,Order #86676,2024-04-18,Settlement for Toothpaste
Cooking Oil,292.21,17,2024-06-06,new,beverage,4649.01,39698,Emily Brown,Paid,Cancelled,W1,Cancelled,Order #39698,2024-06-06,Cancelled for Cooking Oil
Snacks,208.31,44,2024-06-23,affiliate,beverage,7933.51,75178,Wei Chen,Pending,Processing,W6,Delayed,Order #75178,2024-06-23,Delayed for Snacks
Biscuits,62.1,43,2024-05-12,affiliate,beverage,2533.63,69491,Wei Chen,Partial,Returned,W3,Shipped,Order #69491,2024-05-12,Shipped for Biscuits
Tea,59.53,5,2024-03-25,affiliate,food,297.49,86589,Mohammed Ali,Refunded,Cancelled,W5,Info,Order #86589,2024-03-25,Info for Tea
Coffee,185.42,13,2024-03-26,vip,stationery,2009.31,94479,Sara Lee,Refunded,Out for Delivery,W3,Reminder,Order #94479,2024-03-26,Reminder for Coffee
Shampoo,287.01,5,2024-02-04,guest,beverage,1387.34,61910,Tom M�ller,Pending,Out for Delivery,W9,Delayed,Order #61910,2024-02-04,Delayed for Shampoo
Juice,76.35,34,2024-06-16,wholesale,food,2848.91,70224,Sara Lee,Failed,Out for Delivery,W3,Shipped,Order #70224,2024-06-16,Shipped for Juice
Toothpaste,252.68,4,2024-02-16,returning,electronics,1153.97,86691,Carlos Gomez,Partial,Returned,W5,Shipped,Order #86691,2024-02-16,Shipped for Toothpaste
Coffee,184.49,44,2024-02-03,guest,food,8181.6,83626,Lucas Rossi,Pending,Shipping,W6,Delayed,Order #83626,2024-02-03,Delayed for Coffee
Salt,103.54,45,2024-02-08,new,stationery,4764.17,65406,Leslie Alexander,Refunded,Out for Delivery,W9,Shipped,Order #65406,2024-02-08,Shipped for Salt
Coffee,179.03,12,2024-03-11,new,clothing,1761.97,74031,Lucas Rossi,Pending,Processing,W2,Shipped,Order #74031,2024-03-11,Shipped for Coffee
Biscuits,371.49,15,2024-05-30,guest,cleaning,5732.3,21929,Leslie Alexander,Processing,Shipping,W3,Returned,Order #21929,2024-05-30,Returned for Biscuits
Juice,402.64,26,2024-01-02,vip,personal care,9294.36,40192,David Kim,Refunded,On Hold,W2,Reminder,Order #40192,2024-01-02,Reminder for Juice
Cooking Oil,385.58,24,2024-05-30,affiliate,cleaning,10620.47,72861,Mohammed Ali,Processing,Returned,W5,Reminder,Order #72861,2024-05-30,Reminder for Cooking Oil
Salt,149.25,50,2024-01-14,affiliate,beverage,7308.12,30255,Mohammed Ali,Failed,Processing,W8,Settlement,Order #30255,2024-01-14,Settlement for Salt
Soap,319.02,4,2024-02-06,new,clothing,1376.54,73442,Lucas Rossi,Failed,Cancelled,W4,Info,Order #73442,2024-02-06,Info for Soap
Tea,95.7,12,2024-04-07,returning,clothing,1281.98,59931,Sofia Garcia,Refunded,Returned,W5,Returned,Order #59931,2024-04-07,Returned for Tea
Bathroom Essentials,363.22,36,2024-05-28,employee,cleaning,13536.0,93393,Priya Patel,Refunded,Out for Delivery,W7,Delayed,Order #93393,2024-05-28,Delayed for Bathroom Essentials
Salt,301.85,40,2024-06-01,guest,beverage,12466.14,23195,Jane Smith,Pending,Returned,W5,Shipped,Order #23195,2024-06-01,Shipped for Salt
Sugar,396.71,41,2024-01-18,vip,beverage,18642.8,33099,Emily Brown,Pending,Processing,W9,Cancelled,Order #33099,2024-01-18,Cancelled for Sugar
Sugar,113.43,45,2024-02-01,wholesale,clothing,5970.67,62979,Fatima Zahra,Processing,Out for Delivery,W8,Cancelled,Order #62979,2024-02-01,Cancelled for Sugar
Biscuits,320.71,41,2024-01-02,new,home,11416.49,67484,Carlos Gomez,Paid,Out for Delivery,W2,Settlement,Order #67484,2024-01-02,Settlement for Biscuits
Bathroom Essentials,101.03,46,2024-06-11,guest,stationery,3749.35,38543,John Doe,Refunded,On Hold,W1,Shipped,Order #38543,2024-06-11,Shipped for Bathroom Essentials
Shampoo,317.07,37,2024-02-18,returning,stationery,10029.42,98567,Priya Patel,Paid,Delivered,W3,Promotion,Order #98567,2024-02-18,Promotion for Shampoo
Sugar,256.74,33,2024-02-04,vip,clothing,9396.9,75606,Tom M�ller,Failed,Delivered,W1,Delayed,Order #75606,2024-02-04,Delayed for Sugar
Coffee,89.9,11,2024-05-22,new,stationery,1142.34,84442,Tom M�ller,Partial,Out for Delivery,W1,Shipped,Order #84442,2024-05-22,Shipped for Coffee
Milk,331.61,9,2024-06-27,regular,clothing,2518.02,46042,Sara Lee,Processing,Cancelled,W9,Delayed,Order #46042,2024-06-27,Delayed for Milk
Snacks,132.95,24,2024-03-29,guest,beverage,2808.01,80847,Emily Brown,Partial,Processing,W7,Delivered,Order #80847,2024-03-29,Delivered for Snacks
Coffee,127.1,11,2024-03-26,new,food,1230.63,61159,Sofia Garcia,Processing,Shipping,W2,Info,Order #61159,2024-03-26,Info for Coffee
Shampoo,306.67,2,2024-02-04,guest,cleaning,552.95,91518,Emily Brown,Failed,Cancelled,W8,Promotion,Order #91518,2024-02-04,Promotion for Shampoo
Soap,207.07,10,2024-06-19,returning,electronics,2076.72,65865,Leslie Alexander,Paid,Delivered,W5,Delayed,Order #65865,2024-06-19,Delayed for Soap
