product_name,price,quantity_sold,date,customer_type,category,sales,order_id,customer,payment,status,week,notification_type,notification_item,notification_date,notification_details
Juice,137.11,44,2024-05-21,wholesale,food,6334.77,79916,Leslie Alexander,Unpaid,Cancelled,W2,Promotion,Order #79916,2024-05-21,Promotion for Juice
Cooking Oil,94.43,10,2024-05-06,guest,beverage,1006.15,95855,Sofia Garcia,Partial,Processing,W3,Cancelled,Order #95855,2024-05-06,Cancelled for Cooking Oil
Salt,423.53,18,2024-04-16,vip,toys,8400.89,85969,Leslie Alexander,Failed,Out for Delivery,W6,Info,Order #85969,2024-04-16,Info for Salt
Coffee,340.35,29,2024-05-30,vip,beverage,9065.93,57774,Sofia Garcia,Unpaid,Shipping,W1,Info,Order #57774,2024-05-30,Info for Coffee
Salt,318.56,50,2024-04-01,returning,cleaning,17761.86,76499,Anna Ivanova,Refunded,Returned,W9,Cancelled,Order #76499,2024-04-01,Cancelled for Salt
Cooking Oil,135.47,14,2024-03-16,returning,stationery,2070.91,53281,Leslie Alexander,Pending,Returned,W1,Returned,Order #53281,2024-03-16,Returned for Cooking Oil
Salt,273.72,4,2024-06-21,new,clothing,1081.01,57953,Leslie Alexander,Unpaid,Cancelled,W2,Promotion,Order #57953,2024-06-21,Promotion for Salt
Coffee,207.15,3,2024-04-03,guest,stationery,736.28,72010,Wei Chen,Unpaid,On Hold,W7,Delayed,Order #72010,2024-04-03,Delayed for Coffee
Wheat,219.01,48,2024-04-16,returning,cleaning,12192.43,54337,David Kim,Paid,Cancelled,W1,Promotion,Order #54337,2024-04-16,Promotion for Wheat
Tea,26.38,9,2024-06-08,guest,cleaning,241.02,54897,Mohammed Ali,Unpaid,Shipping,W8,Promotion,Order #54897,2024-06-08,Promotion for Tea
Coffee,365.65,25,2024-04-19,guest,personal care,9859.98,36949,Priya Patel,Paid,Returned,W1,Returned,Order #36949,2024-04-19,Returned for Coffee
Cooking Oil,345.35,36,2024-05-15,returning,electronics,11749.24,99090,Tom M�ller,Processing,Out for Delivery,W5,Delivered,Order #99090,2024-05-15,Delivered for Cooking Oil
Basmati Rice,422.12,41,2024-03-25,regular,stationery,20522.18,32577,David Kim,Processing,On Hold,W2,Returned,Order #32577,2024-03-25,Returned for Basmati Rice
Cooking Oil,297.02,15,2024-05-24,wholesale,food,5334.83,81536,Leslie Alexander,Unpaid,On Hold,W4,Promotion,Order #81536,2024-05-24,Promotion for Cooking Oil
Juice,192.92,28,2024-06-15,returning,toys,6292.9,63961,Carlos Gomez,Processing,Returned,W7,Cancelled,Order #63961,2024-06-15,Cancelled for Juice
Basmati Rice,114.69,2,2024-03-13,wholesale,cleaning,191.87,32472,Priya Patel,Pending,Shipping,W8,Settlement,Order #32472,2024-03-13,Settlement for Basmati Rice
Snacks,307.93,38,2024-06-11,guest,personal care,9783.12,41346,Priya Patel,Processing,Shipping,W1,Delivered,Order #41346,2024-06-11,Delivered for Snacks
Toothpaste,417.47,31,2024-01-25,new,stationery,11809.18,20020,Leslie Alexander,Unpaid,Returned,W6,Shipped,Order #20020,2024-01-25,Shipped for Toothpaste
Salt,262.57,5,2024-01-23,returning,beverage,1140.34,82536,Wei Chen,Failed,Cancelled,W2,Promotion,Order #82536,2024-01-23,Promotion for Salt
Wheat,135.7,25,2024-01-16,affiliate,food,2921.35,33874,Carlos Gomez,Partial,Delivered,W5,Cancelled,Order #33874,2024-01-16,Cancelled for Wheat
Milk,490.2,42,2024-03-29,vip,toys,24269.81,37041,Leslie Alexander,Unpaid,Out for Delivery,W7,Delivered,Order #37041,2024-03-29,Delivered for Milk
Toothpaste,319.72,6,2024-02-04,guest,cleaning,2170.89,22555,Anna Ivanova,Pending,Out for Delivery,W7,Reminder,Order #22555,2024-02-04,Reminder for Toothpaste
Shampoo,212.29,50,2024-05-16,wholesale,electronics,11191.7,24092,Anna Ivanova,Refunded,Out for Delivery,W4,Shipped,Order #24092,2024-05-16,Shipped for Shampoo
Snacks,456.39,48,2024-04-14,employee,cleaning,20684.15,28067,Fatima Zahra,Failed,Cancelled,W9,Shipped,Order #28067,2024-04-14,Shipped for Snacks
Basmati Rice,225.79,13,2024-03-31,guest,toys,3012.39,96669,Carlos Gomez,Unpaid,Returned,W1,Settlement,Order #96669,2024-03-31,Settlement for Basmati Rice
Juice,30.84,16,2024-01-25,employee,beverage,466.56,90327,Anna Ivanova,Unpaid,Delivered,W4,Returned,Order #90327,2024-01-25,Returned for Juice
Bathroom Essentials,277.35,9,2024-01-13,employee,personal care,2539.33,46707,Jane Smith,Unpaid,Cancelled,W5,Shipped,Order #46707,2024-01-13,Shipped for Bathroom Essentials
